brand_id,component,properties,example_usage
linear,button-primary,"bg:#5E6AD2 text:white radius:6px height:32px font-weight:500 hover:bg:#5E67C2","Primary CTAs nav items"
linear,button-secondary,"bg:transparent border:1px solid #5E6AD2 text:#5E6AD2 radius:6px","Secondary actions"
linear,card,"bg:#15171E border:1px solid #2A2D35 radius:8px padding:24px","Feature cards containers"
linear,input,"bg:#0F111A border:1px solid #2A2D35 radius:6px padding:8px 12px text:#E0E0E0","Form inputs"
vercel,button-primary,"bg:#000 text:white radius:6px height:40px font-weight:500","Primary actions deploy"
vercel,button-ghost,"bg:transparent text:#666 hover:text:#000 transition:colors","Navigation items"
vercel,card,"bg:#FAFAFA border:1px solid #EBEBEB radius:8px","Project cards"
vercel,badge,"bg:#FAFAFA border:1px solid #EBEBEB radius:9999px px:8px py:2px text:12px","Status badges"
stripe,button-primary,"bg:#533AFD text:white radius:6px font-weight:500 hover:bg:#4434D4","Primary CTAs"
stripe,button-secondary,"bg:white border:1px solid #D9D9DD text:#061B31 radius:6px","Secondary actions"
stripe,card,"bg:white border:1px solid #E5E7EB radius:12px shadow:0 2px 4px rgba(0,0,0,0.05)","Feature cards"
stripe,code-block,"bg:#F6F9FC border:1px solid #E5E7EB radius:8px font:monospace","Code examples"
notion,button-primary,"bg:#0075DE text:white radius:4px font-weight:500 hover:bg:#005BAB","Primary actions"
notion,button-secondary,"bg:#F6F5F4 text:#37352F radius:4px border:1px solid #E3E2E0","Secondary actions"
notion,card,"bg:white border:1px solid #E3E2E0 radius:8px shadow:0 1px 2px rgba(0,0,0,0.05)","Page cards"
notion,sidebar-item,"bg:transparent hover:bg:#F6F5F4 text:#37352F radius:4px px:8px py:4px","Navigation items"
spotify,button-primary,"bg:#1ED760 text-black radius:24px font-weight:700 hover:scale:1.04","Play buttons CTAs"
spotify,button-secondary,"bg:transparent border:1px solid #4D4D4D text:white radius:24px","Secondary actions"
spotify,card,"bg:#181818 hover:bg:#252525 transition:background radius:8px","Playlist cards"
spotify,pill,"bg:#2A2A2A text:white radius:16px px:12px py:4px text:14px","Genre tags"
framer,button-primary,"bg:#0099FF text:white radius:12px font-weight:500","Primary actions"
framer,button-glow,"bg:transparent border:1px solid #0099FF text:#0099FF radius:12px shadow:0 0 20px rgba(0,153,255,0.15)","Special CTAs"
framer,card,"bg:#090909 border:1px solid #1A1A1A radius:16px","Feature showcases"
apple,button-primary,"bg:#0071E3 text:white radius:980px font-weight:400 padding:8px 16px","Buy buttons CTAs"
apple,button-secondary,"bg:transparent border:1px solid #0071E3 text:#0071E3 radius:980px","Learn more"
apple,section,"full-width py:80px alternate:#000 #F5F5F7","Product sections"
apple,hero-text,"font-size:56px font-weight:600 line-height:1.07 tracking:-0.28px","Main headlines"
clickhouse,button-primary,"bg:#FAFF69 text-black radius:8px font-weight:600 hover:bg:#F4F692","Primary CTAs"
clickhouse,button-secondary,"bg:#166534 text:white radius:8px","Secondary actions"
clickhouse,card,"bg:#141414 border:1px solid #414141 radius:12px","Feature cards"
clickhouse,stat,"font-size:96px font-weight:900 text:#FAFF69","Performance numbers"
cohere,button-primary,"bg:#1863DC text:white radius:22px font-weight:500","Primary actions"
cohere,card,"bg:white border:1px solid #D9D9DD radius:22px padding:24px","Feature cards"
cohere,input,"bg:#FAFAFA border:1px solid #E5E7EB radius:22px padding:12px 16px","Form inputs"
airbnb,button-primary,"bg:linear-gradient(to right,#E61E4D,#D70666) text:white radius:8px font-weight:600","Book now CTAs"
airbnb,card,"bg:white radius:12px shadow:0 6px 16px rgba(0,0,0,0.12) hover:shadow:0 6px 20px rgba(0,0,0,0.16)","Listing cards"
airbnb,pill,"bg:white border:1px solid #DDDDDD radius:30px px:16px py:8px hover:border:#000","Filter pills"
claude,button-primary,"bg:#D97757 text-white radius:8px font-weight:500","Primary CTAs"
claude,card,"bg:#FAFAF9 border:1px solid #E5E2DF radius:12px","Content cards"
claude,message,"bg:white border:1px solid #E5E2DF radius:12px shadow:0 1px 3px rgba(0,0,0,0.05)","Chat messages"
runwayml,button-primary,"bg:white text-black radius:8px font-weight:500","Primary actions"
runwayml,button-secondary,"bg:transparent border:1px solid #27272A text:white radius:8px","Secondary actions"
runwayml,hero,"full-bleed-image cinematic-overlay text-white","Hero sections"
linear,navbar,"bg:#0F111A/80 backdrop-blur border-b:1px solid #2A2D35 sticky top:0","Navigation"
vercel,navbar,"bg:white border-b:1px solid #EBEBEB sticky top:0","Navigation"
stripe,navbar,"bg:white/80 backdrop-blur sticky top:0 z:50","Navigation"
notion,sidebar,"bg:#F7F6F3 w:240px h:100vh border-r:1px solid #E3E2E0","Side navigation"
spotify,player,"bg:#181818 h:90px fixed bottom:0 w-full border-t:1px solid #282828","Music player"
framer,navbar,"bg:black/80 backdrop-blur sticky top:0 z:50","Navigation"
